use_case,region,project_scale,manpower_required,drones_required,expected_revenue,operational_cost,estimated_profit,market_growth_percent
Defense,Delhi,Small,32,1,2171326,1151498,1019828,17.57
Mining,Maharashtra,Small,47,10,2485212,1937581,547631,14.48
Medical,Delhi,Medium,50,17,4268588,1406827,2861761,21.97
Disaster,Telangana,Large,33,14,3367972,1188913,2179059,24.32
Disaster,Delhi,Medium,6,4,2968041,1659074,1308967,12.45
Agriculture,Delhi,Large,10,13,1825962,1159624,666338,11.34
Mining,Telangana,Medium,32,3,1094359,330916,763443,9.44
Disaster,Telangana,Small,47,6,3187930,1000734,2187196,18.0
Medical,Telangana,Large,7,18,2186418,711469,1474949,8.65
Mining,Tamil Nadu,Medium,24,18,1183124,275440,907684,9.73
Defense,Delhi,Large,28,5,4111385,631350,3480035,21.58
Mining,Maharashtra,Large,40,8,3806884,227104,3579780,13.42
Medical,Maharashtra,Large,47,16,2833145,1382774,1450371,23.76
Agriculture,Karnataka,Small,31,9,3295330,559983,2735347,15.4
Disaster,Tamil Nadu,Small,20,10,1058383,324487,733896,20.04
Medical,Maharashtra,Small,30,14,3062173,1611964,1450209,10.93
Disaster,Maharashtra,Large,44,3,3480723,1579493,1901230,20.6
Defense,Telangana,Small,50,1,510672,206438,304234,22.01
Disaster,Delhi,Medium,6,17,901292,1824026,-922734,7.55
Medical,Maharashtra,Medium,5,2,3679288,714334,2964954,17.77
Disaster,Telangana,Small,22,18,2235948,1243999,991949,21.9
Medical,Maharashtra,Small,5,13,3614202,521019,3093183,22.85
Medical,Tamil Nadu,Large,42,5,4330837,1978116,2352721,12.62
Medical,Maharashtra,Large,41,6,3038674,629495,2409179,9.0
Disaster,Delhi,Large,44,12,4860698,1261628,3599070,23.88
Agriculture,Delhi,Small,23,20,1115336,761755,353581,7.76
Disaster,Delhi,Small,34,7,2032898,1703858,329040,11.73
Disaster,Maharashtra,Medium,37,14,1136946,1512527,-375581,13.1
Medical,Maharashtra,Large,47,17,2241704,1259361,982343,16.21
Agriculture,Delhi,Medium,33,16,2701491,535875,2165616,14.72
Mining,Karnataka,Large,27,14,821872,998278,-176406,17.69
Medical,Maharashtra,Medium,34,11,1746825,1659801,87024,23.25
Medical,Telangana,Large,20,9,671787,1849048,-1177261,21.21
Mining,Tamil Nadu,Medium,25,18,1047359,484317,563042,17.69
Mining,Delhi,Small,25,20,4399468,363117,4036351,6.62
Defense,Karnataka,Medium,14,1,549603,942128,-392525,7.68
Defense,Maharashtra,Medium,35,7,4125212,1291762,2833450,17.48
Mining,Telangana,Large,41,7,789757,678056,111701,19.01
Medical,Telangana,Large,18,19,4835148,923596,3911552,13.6
Agriculture,Telangana,Small,31,4,3546453,801411,2745042,24.89
Disaster,Delhi,Medium,15,15,1093324,1231671,-138347,16.46
Medical,Tamil Nadu,Medium,25,13,3948381,239527,3708854,24.92
Defense,Karnataka,Medium,6,15,2757695,1898751,858944,20.48
Disaster,Telangana,Medium,49,3,3094867,865410,2229457,12.99
Defense,Karnataka,Large,13,10,984329,1159270,-174941,13.97
Disaster,Delhi,Small,34,14,3774640,514074,3260566,18.24
Medical,Karnataka,Small,42,7,1587540,419708,1167832,22.06
Agriculture,Karnataka,Small,46,6,1203027,543679,659348,13.85
Medical,Tamil Nadu,Medium,44,6,2418425,1191777,1226648,20.03
Disaster,Tamil Nadu,Large,5,1,3824507,276284,3548223,24.62
Defense,Karnataka,Medium,24,10,3976851,386126,3590725,18.38
Defense,Maharashtra,Small,20,9,1542904,758994,783910,11.14
Agriculture,Delhi,Large,7,13,706626,1229408,-522782,5.17
Mining,Tamil Nadu,Small,5,9,1750008,1996032,-246024,17.8
Defense,Tamil Nadu,Small,9,10,3302066,528538,2773528,20.17
Medical,Karnataka,Small,37,4,4390415,1098588,3291827,20.73
Disaster,Telangana,Small,10,15,2297988,1442135,855853,7.94
Agriculture,Maharashtra,Small,43,3,1669140,521248,1147892,10.27
Medical,Karnataka,Medium,29,11,4751709,1514218,3237491,5.17
Medical,Telangana,Small,21,9,4778718,1278024,3500694,21.56
Mining,Delhi,Medium,41,15,1576552,916094,660458,6.22
Medical,Maharashtra,Large,7,16,4754469,857330,3897139,15.82
Mining,Telangana,Large,29,9,2413089,1105366,1307723,7.26
Agriculture,Delhi,Small,12,3,3113509,1012018,2101491,17.84
Defense,Telangana,Small,43,9,2861517,795979,2065538,11.14
Medical,Delhi,Small,25,11,1369869,1483334,-113465,14.35
Medical,Karnataka,Medium,9,9,4453250,545674,3907576,15.98
Medical,Telangana,Large,44,11,2069152,956931,1112221,10.84
Mining,Tamil Nadu,Medium,11,1,4741848,1326475,3415373,19.53
Disaster,Delhi,Small,48,19,557564,1887048,-1329484,21.05
Disaster,Karnataka,Large,8,5,4361134,621798,3739336,24.7
Mining,Tamil Nadu,Medium,9,3,1324738,612005,712733,9.62
Mining,Karnataka,Small,14,17,1248796,274698,974098,7.66
Mining,Delhi,Small,9,12,2209677,1424844,784833,10.12
Defense,Tamil Nadu,Medium,49,9,3292154,1417777,1874377,5.95
Medical,Maharashtra,Small,42,6,1776575,1367144,409431,21.63
Medical,Tamil Nadu,Medium,25,12,929390,1935901,-1006511,23.74
Mining,Karnataka,Large,38,4,4075095,242913,3832182,10.09
Medical,Delhi,Large,16,16,3024884,291944,2732940,24.06
Agriculture,Tamil Nadu,Small,12,10,1636035,1259172,376863,10.92
Disaster,Karnataka,Medium,10,14,933405,1242303,-308898,18.03
Disaster,Maharashtra,Small,33,3,4355212,699729,3655483,6.13
Mining,Karnataka,Large,35,17,1447871,1499170,-51299,18.49
Disaster,Telangana,Large,9,14,1760870,1643069,117801,14.8
Agriculture,Maharashtra,Small,22,9,2556414,1889957,666457,11.32
Medical,Delhi,Small,23,19,3372728,1702890,1669838,7.5
Defense,Karnataka,Medium,8,10,3486502,1924632,1561870,14.99
Defense,Telangana,Large,26,16,3020245,1312442,1707803,15.31
Disaster,Delhi,Large,6,15,1554513,1239270,315243,14.21
Disaster,Delhi,Large,33,6,1803918,294498,1509420,19.3
Agriculture,Delhi,Medium,7,9,2939128,1420294,1518834,17.51
Disaster,Karnataka,Medium,21,3,1711681,527319,1184362,20.41
Mining,Delhi,Small,32,15,3250289,1514754,1735535,22.29
Agriculture,Tamil Nadu,Small,13,9,4028483,1747163,2281320,6.36
Defense,Tamil Nadu,Small,21,12,4049651,305325,3744326,22.77
Disaster,Tamil Nadu,Large,8,14,2714734,1169604,1545130,5.65
Medical,Karnataka,Medium,5,6,3317610,1282482,2035128,17.18
Agriculture,Karnataka,Large,30,18,4591069,1017410,3573659,12.2
Disaster,Delhi,Medium,38,20,1286605,292698,993907,6.34
Defense,Maharashtra,Small,40,5,1433952,1957933,-523981,19.81
Defense,Maharashtra,Small,25,14,4733672,1996526,2737146,5.36
Disaster,Tamil Nadu,Small,31,18,3193150,1495015,1698135,20.1
Defense,Delhi,Large,41,12,4800508,792474,4008034,18.58
Medical,Telangana,Small,15,15,3125347,1604175,1521172,16.87
Medical,Karnataka,Medium,41,16,3644211,632789,3011422,19.49
Disaster,Karnataka,Large,6,5,2543961,1676992,866969,18.06
Disaster,Karnataka,Medium,41,13,4539775,805409,3734366,9.4
Agriculture,Maharashtra,Medium,11,6,4150905,560260,3590645,19.51
Disaster,Telangana,Small,14,5,4566020,324029,4241991,7.28
Disaster,Telangana,Large,22,2,1912260,1797999,114261,20.78
Mining,Tamil Nadu,Large,7,3,4880469,344921,4535548,5.49
Defense,Karnataka,Medium,16,18,2842135,1362652,1479483,15.38
Medical,Maharashtra,Medium,6,12,2164293,1132769,1031524,9.31
Mining,Telangana,Medium,36,16,4507818,1947176,2560642,7.38
Disaster,Maharashtra,Small,11,15,2157289,605867,1551422,10.75
Disaster,Telangana,Small,23,8,3630546,1139149,2491397,22.73
Disaster,Telangana,Medium,44,18,4108292,1314312,2793980,23.02
Medical,Karnataka,Large,19,20,3022797,1033714,1989083,14.75
Medical,Delhi,Small,48,4,4248516,1764299,2484217,11.64
Defense,Delhi,Medium,28,15,2604901,631498,1973403,11.31
Medical,Tamil Nadu,Large,16,12,3627970,422872,3205098,5.64
Mining,Maharashtra,Large,17,1,2296000,1305120,990880,10.94
Agriculture,Delhi,Medium,13,7,2703012,578590,2124422,16.66
Defense,Tamil Nadu,Medium,23,8,2633211,1151676,1481535,8.05
Agriculture,Tamil Nadu,Large,43,3,793424,1181782,-388358,22.61
Defense,Karnataka,Small,25,19,2677402,599343,2078059,8.76
Defense,Maharashtra,Small,28,5,911607,1197915,-286308,14.9
Defense,Maharashtra,Medium,39,3,1455916,203495,1252421,14.5
Agriculture,Telangana,Medium,46,20,1984679,1206537,778142,15.21
Agriculture,Delhi,Large,20,13,1882565,466029,1416536,23.8
Medical,Telangana,Medium,27,10,2226187,1057461,1168726,12.46
Agriculture,Karnataka,Medium,15,9,2742659,793295,1949364,13.79
Mining,Delhi,Medium,49,17,4441505,1330570,3110935,12.91
Disaster,Maharashtra,Large,36,8,3305766,1063624,2242142,9.21
Agriculture,Delhi,Small,7,9,1596307,811161,785146,6.16
Medical,Delhi,Medium,48,16,1678189,380167,1298022,22.62
Disaster,Karnataka,Medium,34,11,3570984,910220,2660764,24.61
Agriculture,Telangana,Small,40,16,1642453,225610,1416843,9.65
Disaster,Delhi,Large,47,10,1124811,1001557,123254,16.65
Disaster,Maharashtra,Large,50,2,3205207,1975147,1230060,9.05
Agriculture,Delhi,Medium,28,6,1555100,762897,792203,22.46
Medical,Maharashtra,Large,18,20,4754371,786291,3968080,16.57
Defense,Karnataka,Large,9,8,2068794,849864,1218930,21.91
Disaster,Delhi,Small,13,2,3498308,1839894,1658414,14.41
Agriculture,Maharashtra,Large,22,17,3926133,968768,2957365,19.49
Defense,Tamil Nadu,Small,31,18,3159115,1832674,1326441,6.65
Defense,Delhi,Small,44,7,3013236,1105451,1907785,10.13
