manual_operation_cost,drone_operation_cost,cost_savings,efficiency_improvement_percent
728072,486911,241161,33.12
408397,224277,184120,45.08
913922,167251,746671,81.7
336694,325393,11301,3.36
703039,448574,254465,36.2
593023,221701,371322,62.62
499557,122880,376677,75.4
715362,151937,563425,78.76
823269,303287,519982,63.16
431430,216509,214921,49.82
693080,289423,403657,58.24
641775,337619,304156,47.39
443897,313334,130563,29.41
514308,444520,69788,13.57
512216,106300,405916,79.25
761090,182332,578758,76.04
768434,257307,511127,66.52
770099,450346,319753,41.52
481131,255149,225982,46.97
557365,451270,106095,19.04
301081,498148,-197067,-65.45
784727,299864,484863,61.79
325871,290349,35522,10.9
304493,450754,-146261,-48.03
919865,342708,577157,62.74
771216,154859,616357,79.92
954276,374376,579900,60.77
400469,144088,256381,64.02
838584,335987,502597,59.93
391583,280369,111214,28.4
432775,473561,-40786,-9.42
364399,492479,-128080,-35.15
847328,150144,697184,82.28
577945,379019,198926,34.42
665743,478484,187259,28.13
670097,272980,397117,59.26
514208,362586,151622,29.49
471271,379710,91561,19.43
969824,391948,577876,59.59
341298,144622,196676,57.63
983348,450353,532995,54.2
341258,416374,-75116,-22.01
905791,472971,432820,47.78
693908,413555,280353,40.4
405591,305827,99764,24.6
914579,419395,495184,54.14
685978,119585,566393,82.57
375042,131093,243949,65.05
644704,241288,403416,62.57
701497,360742,340755,48.58
546617,495007,51610,9.44
596409,489698,106711,17.89
852679,341438,511241,59.96
834873,463850,371023,44.44
880576,298212,582364,66.13
481521,354622,126899,26.35
772782,317016,455766,58.98
963363,247331,716032,74.33
424467,126194,298273,70.27
609560,255639,353921,58.06
904835,104043,800792,88.5
540135,334846,205289,38.01
596366,161481,434885,72.92
381155,333455,47700,12.51
619380,311258,308122,49.75
443827,419066,24761,5.58
818710,254302,564408,68.94
910375,354696,555679,61.04
833594,249466,584128,70.07
600920,487493,113427,18.88
701112,411583,289529,41.3
791103,132466,658637,83.26
515227,242625,272602,52.91
699705,218199,481506,68.82
511162,314389,196773,38.5
596440,230878,365562,61.29
448038,458261,-10223,-2.28
905046,108051,796995,88.06
724977,484753,240224,33.14
897851,210278,687573,76.58
407676,350021,57655,14.14
742540,214952,527588,71.05
375726,487618,-111892,-29.78
951800,269245,682555,71.71
855513,232263,623250,72.85
515950,321307,194643,37.73
492920,369575,123345,25.02
353084,218956,134128,37.99
505659,389841,115818,22.9
963119,297966,665153,69.06
353718,358928,-5210,-1.47
308023,173099,134924,43.8
609070,165050,444020,72.9
812136,495324,316812,39.01
856200,492065,364135,42.53
758938,104949,653989,86.17
774019,104429,669590,86.51
707721,216671,491050,69.38
908820,389674,519146,57.12
759861,489670,270191,35.56
910698,284345,626353,68.78
893365,378396,514969,57.64
355896,451891,-95995,-26.97
904165,252714,651451,72.05
470280,351860,118420,25.18
874637,374468,500169,57.19
914209,144380,769829,84.21
630579,439641,190938,30.28
676831,357356,319475,47.2
602758,263825,338933,56.23
411662,228420,183242,44.51
318187,137930,180257,56.65
773859,238660,535199,69.16
587236,422589,164647,28.04
953816,134275,819541,85.92
451400,145137,306263,67.85
953923,315183,638740,66.96
975668,462500,513168,52.6
728822,264199,464623,63.75
728522,188213,540309,74.17
414843,120182,294661,71.03
874400,471223,403177,46.11
837969,206841,631128,75.32
611377,196099,415278,67.93
628916,116221,512695,81.52
912419,208509,703910,77.15
715710,490240,225470,31.5
665021,141163,523858,78.77
975387,349403,625984,64.18
572732,236766,335966,58.66
845976,469825,376151,44.46
596157,240415,355742,59.67
305050,190632,114418,37.51
510958,355952,155006,30.34
541366,438792,102574,18.95
729361,119723,609638,83.59
694962,218875,476087,68.51
931986,200382,731604,78.5
678439,140682,537757,79.26
318205,413158,-94953,-29.84
309352,195070,114282,36.94
608747,392800,215947,35.47
815788,340515,475273,58.26
977801,166410,811391,82.98
659083,476358,182725,27.72
868332,223024,645308,74.32
885830,343457,542373,61.23
738105,232150,505955,68.55
733382,303982,429400,58.55
340952,157660,183292,53.76
940814,167352,773462,82.21
431793,374621,57172,13.24
887656,152790,734866,82.79
505663,173756,331907,65.64
317785,171651,146134,45.99
971776,488164,483612,49.77
704689,444800,259889,36.88
649148,178986,470162,72.43
579349,162536,416813,71.95
809000,279590,529410,65.44
912423,158751,753672,82.6
475374,425457,49917,10.5
929082,278151,650931,70.06
375108,220715,154393,41.16
522228,105177,417051,79.86
534572,463558,71014,13.28
517449,340387,177062,34.22
361407,430320,-68913,-19.07
320470,127147,193323,60.32
330262,297529,32733,9.91
435737,337785,97952,22.48
466779,186675,280104,60.01
811499,242195,569304,70.15
922794,338531,584263,63.31
877264,389471,487793,55.6
458921,213393,245528,53.5
380750,198902,181848,47.76
893778,433167,460611,51.54
865103,373987,491116,56.77
689785,113898,575887,83.49
574345,411068,163277,28.43
981302,189218,792084,80.72
624748,364098,260650,41.72
795035,374915,420120,52.84
434253,171556,262697,60.49
313814,378522,-64708,-20.62
954321,160817,793504,83.15
851975,155752,696223,81.72
684731,263464,421267,61.52
360220,498099,-137879,-38.28
568597,324951,243646,42.85
674804,384385,290419,43.04
901956,270780,631176,69.98
990064,275647,714417,72.16
337204,182578,154626,45.86
515631,437535,78096,15.15
337137,365166,-28029,-8.31
782043,398240,383803,49.08
716537,226596,489941,68.38
773193,187555,585638,75.74
979865,407951,571914,58.37
487861,282709,205152,42.05
590708,304466,286242,48.46
341923,360295,-18372,-5.37
691583,150407,541176,78.25
369085,293022,76063,20.61
611447,127821,483626,79.1
918662,363646,555016,60.42
658884,353577,305307,46.34
327111,235925,91186,27.88
355767,157299,198468,55.79
520521,256655,263866,50.69
398477,215552,182925,45.91
741332,461676,279656,37.72
984935,176347,808588,82.1
538895,344099,194796,36.15
898063,350747,547316,60.94
515454,340452,175002,33.95
770084,330890,439194,57.03
347549,275956,71593,20.6
659830,210425,449405,68.11
555230,162640,392590,70.71
799486,256518,542968,67.91
830894,386257,444637,53.51
657024,253907,403117,61.35
667637,460800,206837,30.98
825289,442803,382486,46.35
469066,153212,315854,67.34
365806,465003,-99197,-27.12
677828,104620,573208,84.57
989328,197146,792182,80.07
372085,435891,-63806,-17.15
735806,198859,536947,72.97
499329,203299,296030,59.29
994355,259190,735165,73.93
562430,488438,73992,13.16
405342,166342,239000,58.96
425221,302997,122224,28.74
852282,215170,637112,74.75
982521,156119,826402,84.11
935393,122104,813289,86.95
927863,287319,640544,69.03
838786,499207,339579,40.48
317986,344490,-26504,-8.33
349195,258316,90879,26.03
761721,302297,459424,60.31
424894,495426,-70532,-16.6
329311,446407,-117096,-35.56
478412,428418,49994,10.45
475408,212093,263315,55.39
330230,242099,88131,26.69
627331,175835,451496,71.97
695592,173205,522387,75.1
512351,421558,90793,17.72
581376,202238,379138,65.21
906156,365204,540952,59.7
559076,188406,370670,66.3
876242,308582,567660,64.78
422277,230817,191460,45.34
642009,321762,320247,49.88
836398,143573,692825,82.83
611023,468862,142161,23.27
714346,348559,365787,51.21
799843,134128,665715,83.23
468801,125940,342861,73.14
887004,158473,728531,82.13
386762,244545,142217,36.77
458841,405177,53664,11.7
335490,494463,-158973,-47.39
613935,208443,405492,66.05
560043,325411,234632,41.9
970425,421139,549286,56.6
377575,172292,205283,54.37
934916,341833,593083,63.44
407325,418426,-11101,-2.73
303869,180227,123642,40.69
435761,437291,-1530,-0.35
985886,247891,737995,74.86
565654,475663,89991,15.91
742624,369029,373595,50.31
702859,282755,420104,59.77
643027,372035,270992,42.14
528332,180104,348228,65.91
324110,267695,56415,17.41
829297,116875,712422,85.91
967889,214967,752922,77.79
356625,299955,56670,15.89
474361,406266,68095,14.36
902379,264300,638079,70.71
580245,243141,337104,58.1
498845,437167,61678,12.36
905514,396257,509257,56.24
945907,106415,839492,88.75
838597,100352,738245,88.03
668268,353426,314842,47.11
391299,133887,257412,65.78
782968,191177,591791,75.58
539123,113183,425940,79.01
308062,341859,-33797,-10.97
332371,400420,-68049,-20.47
312379,132725,179654,57.51
395070,251178,143892,36.42
491797,384775,107022,21.76
624107,177492,446615,71.56
856246,475859,380387,44.42
566385,417267,149118,26.33
545973,308448,237525,43.5
782441,381696,400745,51.22
406205,122991,283214,69.72
489973,286914,203059,41.44
790382,210134,580248,73.41
752128,436875,315253,41.91
852417,268226,584191,68.53
957209,468081,489128,51.1
664565,390648,273917,41.22
608420,174165,434255,71.37
706533,151171,555362,78.6
347944,437394,-89450,-25.71
693365,485787,207578,29.94
540510,160169,380341,70.37
582411,409829,172582,29.63
930153,257079,673074,72.36
945297,110158,835139,88.35
644866,278512,366354,56.81
372423,427161,-54738,-14.7
771704,137084,634620,82.24
985175,462193,522982,53.09
607253,149058,458195,75.45
774381,145037,629344,81.27
793094,417353,375741,47.38
602936,262289,340647,56.5
531573,325015,206558,38.86
893489,233293,660196,73.89
400602,227788,172814,43.14
780612,492787,287825,36.87
775059,440028,335031,43.23
419198,399838,19360,4.62
972423,445185,527238,54.22
476785,255484,221301,46.42
592451,114967,477484,80.59
989867,160918,828949,83.74
803421,337093,466328,58.04
755260,253409,501851,66.45
596362,221246,375116,62.9
969693,314896,654797,67.53
637845,284611,353234,55.38
861174,298373,562801,65.35
713538,153733,559805,78.45
934577,468675,465902,49.85
659385,485173,174212,26.42
862635,345007,517628,60.01
826481,241789,584692,70.74
936418,181556,754862,80.61
827390,356924,470466,56.86
421681,195319,226362,53.68
799070,452491,346579,43.37
358947,441505,-82558,-23.0
847412,104869,742543,87.62
452771,178485,274286,60.58
847912,276716,571196,67.37
338139,405219,-67080,-19.84
313532,276265,37267,11.89
468136,319913,148223,31.66
532847,334513,198334,37.22
709056,191574,517482,72.98
691363,252670,438693,63.45
619216,187826,431390,69.67
970137,229715,740422,76.32
710645,134504,576141,81.07
563819,165445,398374,70.66
743154,239511,503643,67.77
902182,199878,702304,77.85
742365,352509,389856,52.52
579248,269575,309673,53.46
330053,376276,-46223,-14.0
977395,185336,792059,81.04
657743,193481,464262,70.58
987347,360392,626955,63.5
445776,142982,302794,67.93
327123,493161,-166038,-50.76
882443,374005,508438,57.62
518995,192680,326315,62.87
639114,466801,172313,26.96
718235,341901,376334,52.4
783477,410510,372967,47.6
396503,177404,219099,55.26
601628,212603,389025,64.66
741335,176724,564611,76.16
587309,250610,336699,57.33
751329,455837,295492,39.33
300915,303600,-2685,-0.89
355897,241997,113900,32.0
358874,412480,-53606,-14.94
330901,456107,-125206,-37.84
828311,267591,560720,67.69
327179,162590,164589,50.31
594192,477362,116830,19.66
532380,494305,38075,7.15
733390,161252,572138,78.01
496568,123524,373044,75.12
560545,101595,458950,81.88
512814,385827,126987,24.76
894774,149873,744901,83.25
954365,334479,619886,64.95
302406,254584,47822,15.81
521291,370964,150327,28.84
727961,119052,608909,83.65
825009,414958,410051,49.7
678571,392533,286038,42.15
444350,449714,-5364,-1.21
471255,346158,125097,26.55
401967,164400,237567,59.1
582005,214729,367276,63.11
784567,460337,324230,41.33
401459,103247,298212,74.28
392813,198417,194396,49.49
926121,246984,679137,73.33
876637,369057,507580,57.9
654866,429436,225430,34.42
742240,234811,507429,68.36
959164,297187,661977,69.02
430816,232245,198571,46.09
805599,145175,660424,81.98
376502,376383,119,0.03
508630,108314,400316,78.7
321512,178213,143299,44.57
902108,330819,571289,63.33
553141,182897,370244,66.93
641911,443252,198659,30.95
774888,229826,545062,70.34
861613,174175,687438,79.79
956873,370995,585878,61.23
722855,190765,532090,73.61
332814,194198,138616,41.65
303275,435773,-132498,-43.69
372344,319129,53215,14.29
504399,127428,376971,74.74
330142,159721,170421,51.62
671042,333630,337412,50.28
657670,150538,507132,77.11
841775,291849,549926,65.33
872872,382301,490571,56.2
495011,257003,238008,48.08
740747,346063,394684,53.28
871539,147030,724509,83.13
919635,186886,732749,79.68
626360,451285,175075,27.95
959884,439538,520346,54.21
543716,377794,165922,30.52
891928,473756,418172,46.88
691612,424866,266746,38.57
897093,457048,440045,49.05
416909,434344,-17435,-4.18
927550,172063,755487,81.45
363102,355565,7537,2.08
555190,317149,238041,42.88
850775,308808,541967,63.7
711497,431660,279837,39.33
699726,150942,548784,78.43
482303,483897,-1594,-0.33
535508,212736,322772,60.27
474772,337723,137049,28.87
342870,143505,199365,58.15
755487,152774,602713,79.78
305786,371860,-66074,-21.61
863530,336204,527326,61.07
483719,227768,255951,52.91
888745,242594,646151,72.7
941005,239559,701446,74.54
924197,326495,597702,64.67
334715,291302,43413,12.97
649007,116683,532324,82.02
373613,218086,155527,41.63
358935,402628,-43693,-12.17
434716,363794,70922,16.31
885883,383038,502845,56.76
886412,106249,780163,88.01
795589,247626,547963,68.88
900369,455519,444850,49.41
573363,116865,456498,79.62
799136,216782,582354,72.87
587605,126643,460962,78.45
952105,375546,576559,60.56
446871,298407,148464,33.22
387335,198114,189221,48.85
979356,462751,516605,52.75
451699,461487,-9788,-2.17
473568,235783,237785,50.21
816421,152874,663547,81.28
838119,401552,436567,52.09
471543,450017,21526,4.57
529608,361435,168173,31.75
634174,390787,243387,38.38
769591,129500,640091,83.17
586846,127587,459259,78.26
455062,146353,308709,67.84
623517,175335,448182,71.88
421206,125804,295402,70.13
772250,153724,618526,80.09
821140,325117,496023,60.41
