use_case,drone_type,battery_capacity_mAh,payload_weight_kg,weather_condition,estimated_flight_time_minutes
Disaster,Micro,27943,1.96,Stormy,15.22
Agriculture,Micro,18102,2.06,Rainy,12.36
Medical,Medium,42803,15.7,Stormy,10.65
Survey,Medium,37709,4.95,Windy,14.87
Disaster,Nano,47567,9.54,Rainy,31.85
Defense,Micro,37747,5.11,Rainy,26.13
Medical,Medium,43645,4.2,Stormy,16.67
Medical,Medium,58123,7.71,Windy,27.62
Survey,Nano,15839,1.09,Windy,10.39
Agriculture,Medium,15928,13.82,Rainy,10.0
Defense,Large,45724,5.47,Stormy,10.0
Agriculture,Medium,34561,14.47,Normal,10.48
Disaster,Micro,48207,4.26,Rainy,35.04
Disaster,Small,34541,10.43,Normal,21.2
Disaster,Micro,53209,8.91,Stormy,27.05
Agriculture,Small,43060,8.4,Rainy,25.07
Agriculture,Nano,43095,9.92,Summer,31.53
Defense,Nano,34394,18.8,Stormy,11.54
Agriculture,Large,27002,12.92,Rainy,10.0
Agriculture,Medium,17571,13.87,Windy,10.0
Medical,Nano,59689,13.48,Rainy,39.02
Defense,Small,29579,10.81,Rainy,12.74
Medical,Small,23921,7.48,Stormy,10.0
Agriculture,Nano,26610,10.82,Summer,16.05
Defense,Small,38441,19.04,Stormy,10.93
Disaster,Medium,44978,2.9,Normal,30.16
Survey,Medium,23170,16.56,Summer,10.0
Medical,Medium,22213,20.0,Rainy,10.0
Medical,Small,50426,10.02,Rainy,29.93
Disaster,Small,30229,14.07,Stormy,10.0
Medical,Micro,44476,15.99,Rainy,24.55
Defense,Medium,39793,4.77,Rainy,18.78
Disaster,Large,25352,2.94,Rainy,10.0
Survey,Nano,55461,19.32,Rainy,31.9
Agriculture,Small,25494,17.72,Stormy,10.0
Defense,Micro,46050,5.48,Normal,40.67
Defense,Small,42685,2.79,Windy,24.82
Defense,Large,19391,2.19,Normal,10.0
Survey,Nano,35061,12.9,Stormy,14.77
Agriculture,Small,46536,9.77,Normal,33.72
Agriculture,Small,33840,7.24,Windy,16.13
Survey,Small,52124,8.98,Rainy,31.95
Medical,Large,59571,13.1,Summer,21.68
Survey,Large,43395,13.41,Summer,10.0
Medical,Micro,44750,16.79,Windy,21.22
Disaster,Large,35383,8.41,Windy,10.0
Disaster,Large,32316,19.1,Windy,10.0
Medical,Small,36572,18.82,Windy,11.56
Medical,Medium,46375,7.88,Summer,24.81
Disaster,Nano,51869,11.29,Normal,42.71
Survey,Nano,20108,14.29,Stormy,10.0
Agriculture,Medium,33303,11.8,Rainy,10.0
Defense,Nano,29288,17.85,Summer,13.39
Agriculture,Micro,40291,5.55,Summer,31.37
Survey,Micro,28319,17.41,Summer,12.05
Defense,Large,48351,7.78,Normal,17.13
Survey,Large,52141,14.34,Summer,14.1
Agriculture,Micro,39370,17.98,Normal,23.99
Disaster,Small,24225,17.51,Summer,10.0
Survey,Micro,38020,18.84,Normal,21.95
Medical,Nano,15098,10.49,Windy,10.0
Disaster,Micro,19882,15.48,Normal,10.0
Defense,Micro,43231,8.38,Rainy,28.42
Medical,Nano,31478,12.93,Summer,18.91
Defense,Micro,51219,13.22,Windy,27.75
Defense,Large,28091,19.22,Rainy,10.0
Disaster,Medium,40338,18.39,Normal,13.13
Survey,Nano,29387,3.46,Rainy,21.2
Disaster,Micro,17468,8.15,Rainy,10.0
Defense,Small,23829,6.15,Normal,13.91
Medical,Nano,27697,12.23,Windy,12.45
Disaster,Small,53422,16.72,Summer,31.54
Medical,Micro,36403,11.74,Normal,26.01
Survey,Large,15496,16.52,Summer,10.0
Agriculture,Small,49553,5.33,Normal,40.29
Disaster,Nano,50898,6.78,Rainy,36.28
Agriculture,Large,57044,9.34,Summer,22.11
Survey,Micro,37367,5.73,Summer,28.6
Agriculture,Nano,29749,17.72,Windy,10.81
Agriculture,Medium,35749,19.04,Normal,10.0
Agriculture,Medium,26114,3.04,Windy,10.0
Agriculture,Micro,19154,3.03,Rainy,12.58
Agriculture,Nano,18305,14.56,Windy,10.0
Agriculture,Medium,51938,19.34,Stormy,14.38
Medical,Small,19187,17.02,Windy,10.0
Defense,Large,24121,7.76,Rainy,10.0
Survey,Micro,52940,17.33,Summer,34.27
Defense,Small,44872,11.98,Normal,30.29
Medical,Large,45700,12.51,Rainy,10.0
Medical,Small,17960,8.74,Stormy,10.0
Disaster,Small,47250,12.28,Summer,29.18
Disaster,Nano,48577,8.96,Stormy,24.77
Defense,Small,28995,6.53,Summer,16.89
Defense,Small,34227,3.89,Normal,26.11
Medical,Medium,27372,4.28,Stormy,10.0
Disaster,Medium,18114,6.87,Summer,10.0
Disaster,Nano,17635,19.91,Normal,10.0
